ano;fase;cor;n.fuvest
2000;inscrito;branca;2120
2000;inscrito;preta;47
2000;inscrito;amarela;236
2000;inscrito;parda;176
2000;inscrito;indígena;17
2000;inscrito;NR;35
2001;inscrito;branca;2274
2001;inscrito;preta;53
2001;inscrito;amarela;249
2001;inscrito;parda;303
2001;inscrito;indígena;11
2001;inscrito;NR;54
2002;inscrito;branca;2396
2002;inscrito;preta;69
2002;inscrito;amarela;281
2002;inscrito;parda;299
2002;inscrito;indígena;21
2002;inscrito;NR;32
2003;inscrito;branca;2374
2003;inscrito;preta;81
2003;inscrito;amarela;284
2003;inscrito;parda;353
2003;inscrito;indígena;21
2003;inscrito;NR;25
2004;inscrito;branca;2227
2004;inscrito;preta;88
2004;inscrito;amarela;239
2004;inscrito;parda;384
2004;inscrito;indígena;19
2004;inscrito;NR;46
2005;inscrito;branca;2445
2005;inscrito;preta;132
2005;inscrito;amarela;256
2005;inscrito;parda;593
2005;inscrito;indígena;21
2005;inscrito;NR;16
2006;inscrito;branca;2202
2006;inscrito;preta;125
2006;inscrito;amarela;205
2006;inscrito;parda;583
2006;inscrito;indígena;12
2006;inscrito;NR;29
2007;inscrito;branca;1981
2007;inscrito;preta;113
2007;inscrito;amarela;196
2007;inscrito;parda;449
2007;inscrito;indígena;9
2007;inscrito;NR;25
2008;inscrito;branca;1813
2008;inscrito;preta;99
2008;inscrito;amarela;176
2008;inscrito;parda;385
2008;inscrito;indígena;6
2008;inscrito;NR;18
2009;inscrito;branca;1548
2009;inscrito;preta;75
2009;inscrito;amarela;119
2009;inscrito;parda;295
2009;inscrito;indígena;7
2009;inscrito;NR;22
2010;inscrito;branca;1354
2010;inscrito;preta;80
2010;inscrito;amarela;97
2010;inscrito;parda;260
2010;inscrito;indígena;7
2010;inscrito;NR;0
2011;inscrito;branca;1411
2011;inscrito;preta;76
2011;inscrito;amarela;109
2011;inscrito;parda;267
2011;inscrito;indígena;8
2011;inscrito;NR;0
2012;inscrito;branca;1173
2012;inscrito;preta;61
2012;inscrito;amarela;94
2012;inscrito;parda;233
2012;inscrito;indígena;3
2012;inscrito;NR;0
2013;inscrito;branca;1201
2013;inscrito;preta;78
2013;inscrito;amarela;80
2013;inscrito;parda;295
2013;inscrito;indígena;3
2013;inscrito;NR;0
2014;inscrito;branca;1316
2014;inscrito;preta;89
2014;inscrito;amarela;86
2014;inscrito;parda;344
2014;inscrito;indígena;9
2014;inscrito;NR;0
2015;inscrito;branca;1150
2015;inscrito;preta;59
2015;inscrito;amarela;80
2015;inscrito;parda;320
2015;inscrito;indígena;2
2015;inscrito;NR;0
2000;matriculado;branca;98
2000;matriculado;preta;1
2000;matriculado;amarela;18
2000;matriculado;parda;3
2000;matriculado;indígena;0
2000;matriculado;NR;0
2001;matriculado;branca;94
2001;matriculado;preta;0
2001;matriculado;amarela;20
2001;matriculado;parda;5
2001;matriculado;indígena;0
2001;matriculado;NR;1
2002;matriculado;branca;92
2002;matriculado;preta;0
2002;matriculado;amarela;18
2002;matriculado;parda;9
2002;matriculado;indígena;1
2002;matriculado;NR;0
2003;matriculado;branca;92
2003;matriculado;preta;0
2003;matriculado;amarela;22
2003;matriculado;parda;5
2003;matriculado;indígena;0
2003;matriculado;NR;0
2004;matriculado;branca;91
2004;matriculado;preta;2
2004;matriculado;amarela;17
2004;matriculado;parda;10
2004;matriculado;indígena;0
2004;matriculado;NR;0
2005;matriculado;branca;97
2005;matriculado;preta;1
2005;matriculado;amarela;14
2005;matriculado;parda;8
2005;matriculado;indígena;0
2005;matriculado;NR;0
2006;matriculado;branca;92
2006;matriculado;preta;0
2006;matriculado;amarela;11
2006;matriculado;parda;14
2006;matriculado;indígena;1
2006;matriculado;NR;2
2007;matriculado;branca;97
2007;matriculado;preta;1
2007;matriculado;amarela;12
2007;matriculado;parda;8
2007;matriculado;indígena;1
2007;matriculado;NR;1
2008;matriculado;branca;100
2008;matriculado;preta;0
2008;matriculado;amarela;10
2008;matriculado;parda;9
2008;matriculado;indígena;0
2008;matriculado;NR;0
2009;matriculado;branca;91
2009;matriculado;preta;1
2009;matriculado;amarela;11
2009;matriculado;parda;12
2009;matriculado;indígena;0
2009;matriculado;NR;5
2010;matriculado;branca;106
2010;matriculado;preta;0
2010;matriculado;amarela;6
2010;matriculado;parda;8
2010;matriculado;indígena;0
2010;matriculado;NR;0
2011;matriculado;branca;92
2011;matriculado;preta;1
2011;matriculado;amarela;10
2011;matriculado;parda;17
2011;matriculado;indígena;0
2011;matriculado;NR;0
2012;matriculado;branca;101
2012;matriculado;preta;0
2012;matriculado;amarela;10
2012;matriculado;parda;13
2012;matriculado;indígena;0
2012;matriculado;NR;0
2013;matriculado;branca;100
2013;matriculado;preta;1
2013;matriculado;amarela;10
2013;matriculado;parda;17
2013;matriculado;indígena;0
2013;matriculado;NR;0
2014;matriculado;branca;97
2014;matriculado;preta;1
2014;matriculado;amarela;5
2014;matriculado;parda;17
2014;matriculado;indígena;0
2014;matriculado;NR;0
2015;matriculado;branca;91
2015;matriculado;preta;1
2015;matriculado;amarela;14
2015;matriculado;parda;15
2015;matriculado;indígena;0
2015;matriculado;NR;0
